,0,1,2,3,4,5,6,7
RP5-857K21.4,0.9584927,0.6709569,1.3726904,1.0419575,1.1167941,0.5106811,0.97487557,1.021161
MTND1P23,1.5032037,0.6531055,0.99599224,0.95814836,1.0353714,0.6161341,0.93700427,1.0280416
MTND2P28,1.0444564,0.71622854,0.88438886,1.1652131,1.4164394,0.49706727,0.7570699,1.3195451
RP5-857K21.6,1.2696099,0.51412815,1.1495436,0.93544656,1.3201107,0.452396,1.350477,1.18758
MTATP6P1,1.315284,0.73811644,1.1140544,1.3423415,1.6020944,0.9727855,1.3217926,1.4731869
ACAP3,0.9473883,0.8929861,0.99966395,1.1898595,1.1059462,0.53833604,0.6699672,1.0447936
GABRD,1.3774382,0.735127,1.2872694,1.0189359,1.1437664,0.6172485,1.047331,1.2872016
CHD5,1.3709375,1.1418264,1.2263108,1.4607387,1.3232117,0.83119875,0.95406574,1.2547824
ENO1,1.2791888,0.6203261,1.2594938,1.1298084,1.2714547,0.56426734,0.89958435,1.2969778
CLSTN1,1.7338785,1.082147,1.1699777,1.9229097,1.9166027,1.0228164,1.230711,1.8219807
KAZN,1.663202,0.95473295,1.775892,1.1632941,1.6156553,0.9569424,1.1379297,1.6704547
UQCRHL,1.2677195,1.0212522,1.212945,0.847785,1.2264262,0.5042234,0.7803801,1.2851475
NBL1,1.7484738,0.830702,1.2006006,1.0967492,1.0891716,0.5069268,0.95773214,1.0118337
CAMK2N1,1.4936123,1.2450212,1.6325821,1.8887305,1.6301986,1.3793777,1.5137209,1.7753302
PINK1,1.537154,0.9301761,1.1224735,0.8196291,1.2140449,0.5181367,0.66184944,1.0223156
RAP1GAP,1.269317,0.9416337,1.4942341,1.1276618,1.2299331,0.66737014,1.0331429,1.4072689
RSRP1,1.4844717,0.6874922,1.4640217,1.0968946,1.1256925,0.7853841,1.0294918,2.0477345
STMN1,1.6663893,1.2431984,1.5849701,1.3043028,1.5873696,0.909955,1.4380621,1.2861664
ATPIF1,1.1467792,0.8486203,1.1705749,0.96245545,1.5089632,0.517176,0.88073426,0.9335094
SDC3,1.4587307,0.65403885,1.1645535,1.3493274,1.2052543,0.5483049,0.96661675,1.0772796
BAI2,1.4835994,0.9613232,1.3512567,1.1824375,1.2292986,0.561451,0.82622385,1.1152049
HPCA,1.2664888,0.739667,1.2296497,1.3809366,1.3448402,0.60240537,1.2088766,1.1885006
CSMD2,1.4400662,1.0891798,1.1898062,1.3376248,1.7761799,1.2433704,1.1068197,1.42263
NCDN,1.8354764,0.9312987,1.145718,1.0965788,1.2235538,0.60290045,0.88601923,0.8405266
NDUFS5,1.7364455,0.6292322,0.9620249,1.0095174,1.1367627,0.59704214,0.9409609,0.91118646
HIVEP3,1.667089,0.96855205,1.7094344,1.7136991,1.249682,1.1365106,1.1045384,1.4359796
ATP6V0B,1.3877615,0.96889395,1.3811796,1.589066,1.3194678,0.70796746,1.0049676,1.5022627
B4GALT2,1.271657,0.7064106,1.3064716,0.9930517,1.2389098,0.627723,0.9249356,1.1278391
UQCRH,1.2306081,0.89687073,1.3300463,1.2117954,1.3434255,0.7367487,1.074135,1.4856942
AGBL4,2.2156768,1.7718676,1.7801373,1.6967549,2.0185566,3.5325255,1.6634458,2.2073169
ELAVL4,1.3820808,0.9649943,1.2917317,1.1792717,1.46765,0.766683,1.1092018,1.2494044
RNF11,1.0968893,0.82011133,0.81337965,1.1250007,1.2103262,0.5297964,1.5233527,1.5897042
SSBP3,1.2492357,0.77267146,1.599266,1.2425113,1.4976735,0.6651455,0.9750081,1.3073928
DHCR24,1.4275953,0.6105,0.97047997,1.2812487,1.0793653,0.55806094,0.8278841,0.8041937
DAB1,1.311064,1.619421,2.0075274,1.5013981,1.4755077,2.8056688,1.9681896,2.625576
INADL,2.0280607,1.176745,1.4541314,1.4430051,1.1502955,0.9157597,1.6982014,1.0593193
DNAJC6,1.4696275,0.99751663,1.4454228,1.2700346,1.1184689,0.93922335,1.321227,1.678155
PDE4B,1.3753693,1.097286,1.6531786,1.4392282,1.6480112,1.379381,1.6414301,1.3650612
LRRC7,1.7424902,2.0096197,2.3910165,2.100451,2.0543542,4.3124847,1.9477855,1.3075174
NEGR1,1.9086012,2.183299,2.0724368,2.4849763,1.8664006,4.7403493,1.7858248,2.1815355
SLC44A5,1.3533952,1.1157963,1.2944691,1.4448172,1.581759,1.2661918,1.3450005,1.4614782
PRKACB,1.6584904,1.4725999,1.6837107,1.2632,1.7544397,1.2824138,1.3992035,1.3367054
COL24A1,1.552948,1.0990022,1.7360551,1.2396542,1.4956709,1.0642296,1.4549546,1.3218082
LMO4,1.366071,1.0806662,1.9101554,2.0012262,1.517428,1.1401087,1.3562984,1.5517466
KIAA1107,1.3442596,0.8748339,2.031818,1.1580861,1.1992475,0.71454555,0.9274799,1.4463427
MIR137HG,1.4437473,1.1909244,1.3880292,1.4901569,1.4799696,1.128883,1.2760992,1.9930991
LPPR4,1.8279942,0.8300613,1.037632,1.5214809,1.2589042,0.7614615,1.1793762,1.5851871
OLFM3,1.3774276,1.331245,1.5970705,1.9456589,1.6075858,1.6952775,1.6214368,1.4026772
RNPC3,1.4979715,0.87415355,1.9557186,1.4286441,1.8319334,0.76211715,0.9722495,1.2244202
NTNG1,1.3527277,1.1579306,1.4996672,1.5853202,1.2973194,1.0442767,1.3276955,1.4452877
RP11-270C12.3,1.4595265,0.74509877,1.3639292,0.9713702,1.2893279,0.61128706,0.8913994,1.5224895
SLC6A17,1.3614498,0.6574896,1.1923518,1.3485179,1.0784659,0.74207276,0.8633862,1.2621809
BCAS2,1.3854976,0.6638366,0.98031646,1.158754,1.1995932,0.6102612,0.9125816,1.4391819
ATP1A1,1.6883793,1.7523843,1.528974,1.1207798,1.4054071,0.77469593,1.0530367,1.1545303
CH17-472G23.1,1.6757363,1.0073022,1.1309395,1.2290483,1.6718433,0.63661176,1.3029219,1.0156739
CH17-472G23.2,1.3493874,0.74984425,1.1445444,1.2526146,1.258288,0.7288949,0.9535983,1.4112453
RP11-289H16.1,1.8629023,0.96264386,1.669754,1.551038,1.5315892,1.3238932,1.2432195,1.4503467
HYDIN2,1.6063384,0.7226634,1.2111311,1.3816856,1.2486151,0.5274088,0.90983695,1.2788242
SV2A,1.3583286,0.6997058,1.2781335,1.1137843,1.519468,0.73188066,1.0117435,0.8921827
MLLT11,1.0096556,0.8262042,1.0505494,1.1827666,0.82419103,0.5247678,1.1424152,1.42812
CELF3,1.4266824,0.6673947,1.3115624,1.0417958,1.3658981,0.5950788,0.9827363,1.0011852
SYT11,1.7114742,0.6663623,1.3589662,1.352957,1.152913,0.79773176,0.93087536,1.2540346
CADM3,1.7938432,0.7878204,1.1400028,1.094521,1.4545236,0.69281507,0.8796054,1.3437921
PEA15,1.6443477,0.7681999,1.2105252,1.0416157,1.5180396,0.4765622,0.9098709,0.9756418
PFDN2,1.3180308,0.61659694,1.2673426,1.099829,1.5595007,0.6096545,1.0016167,1.1126211
RGS4,1.2607304,1.1269733,1.2689681,1.2149982,1.2057277,0.7332479,1.2745439,1.3389606
PBX1,2.06259,1.1304,1.4078239,1.5104735,1.6726079,1.5711132,1.2937558,1.546581
ILDR2,1.5184588,0.9250217,1.371005,0.8992828,1.1562687,0.6512179,0.9154108,1.2151287
ATP1B1,1.6697543,1.2002623,1.5706898,1.5153638,1.7242632,1.3112952,1.5489727,1.8281761
BRINP3,2.0848463,1.300746,1.4182302,1.6968082,1.7448295,1.72711,1.403385,1.6824576
RP11-92K2.2,1.2265466,0.7116482,1.2081535,1.1621325,1.4249119,0.5875327,1.1012721,1.1303922
MIR181A1HG,1.1210808,0.7078283,1.160071,1.0719254,1.6224644,0.6587941,1.0184826,1.5205227
IPO9-AS1,1.2401086,0.636697,1.2713338,1.0038085,0.98590773,0.50696534,1.0095476,1.3853031
ARL8A,1.5964738,0.910469,1.0756495,0.9554871,1.1100019,0.5220837,1.082816,1.2293624
NUCKS1,1.2059929,0.88731474,1.3109424,1.1879456,1.4423302,0.8304026,1.0509355,1.3468593
C1orf115,1.5230793,0.636891,1.2446846,1.0585175,1.4238597,0.46940148,0.8218286,1.4049432
ARF1,1.3651046,1.1653366,1.3335267,1.5779688,0.96017444,0.831597,0.7357986,1.0559793
GUK1,1.3757346,0.78246486,1.1899163,1.1978058,1.2410873,0.6395098,1.3181202,1.2688977
RNF187,1.1897746,0.8263705,1.1271685,0.94951785,1.4213057,0.3655006,1.4520676,1.1283557
SLC35F3,1.7482877,0.97451085,1.4967915,1.6327189,1.8239195,1.2725878,1.3316625,1.7068124
TOMM20,1.3606563,0.6817996,1.347437,1.088791,1.2330704,0.78588337,0.93225974,1.4111228
CHRM3-AS2,1.065547,0.8581153,0.9578187,1.5769703,1.221542,0.5390055,0.87909615,0.70473105
ZBTB18,1.5705559,0.88936603,1.3938044,1.6215885,1.0241053,0.68766063,0.9451805,1.2289505
KIF26B,1.3058373,0.8918188,0.952771,1.1853476,1.1901013,0.5854598,0.79216117,1.3645579
OR2L13,1.5235702,0.81278205,0.9634851,1.030149,1.22948,0.67766106,0.96797717,1.4979994
HPCAL1,1.4260577,0.760408,1.1587291,1.2197231,0.9685771,0.6169649,1.1663218,0.9702336
KCNF1,1.2144712,0.5210135,1.5319604,1.1686473,1.156943,0.4855936,0.92181015,1.3816904
FAM49A,1.6565632,0.916985,2.000394,1.3895899,1.5799128,0.90270734,1.157125,0.9947743
VSNL1,1.8638506,1.3573319,1.7218698,1.4913764,1.6864036,1.5432782,1.431855,1.5351204
KLHL29,1.5573195,0.9667865,1.2928236,1.6327657,1.0657219,0.8878855,1.231977,1.4654773
EFR3B,1.3560132,0.92909676,1.3571482,1.0656271,1.3880903,0.7347002,0.99824053,1.5465955
MAPRE3,1.6691401,0.67389166,1.082288,1.0451343,1.0847096,0.6203844,0.90976197,1.0073842
SLC30A3,1.2215953,0.76944494,1.145495,1.0375016,1.1302681,0.55025274,0.91022384,1.0969474
BIRC6-AS2,1.467367,0.75996804,1.1743753,1.2352196,1.2700112,0.5568915,1.0064664,1.2679843
LINC00486,2.3289015,3.5223372,1.7909268,2.0370915,2.0874202,9.743235,2.1457534,1.6907696
SRSF7,1.5181179,0.77160454,0.9938906,1.1075716,1.0292131,0.57126135,0.9696471,1.4237484
SLC8A1-AS1,1.5020673,0.69212776,1.2332538,1.2201233,1.6372238,0.51187015,0.8932404,1.352617
PREPL,1.5501826,1.2259442,1.6306798,1.5897181,1.575431,1.2983352,1.6340699,1.7172023
BCYRN1,1.8426605,1.6754206,1.7479184,1.5034239,1.8802698,3.1521623,2.1035826,2.4957776
