,0,1,2,3,4,5,6,7
RP5-857K21.4,1.190477,1.359962,1.2527276,1.7641889,1.6067523,1.7953352,1.2572446,1.1193035
MTND1P23,2.2369983,1.2567973,1.0900495,1.5406783,1.4193091,1.2824918,1.2825972,1.5331846
MTND2P28,1.2977927,1.385029,1.3949891,1.33874,1.359976,1.4607483,1.2891493,1.316949
RP5-857K21.6,0.98905164,1.2908456,1.1527319,1.3758655,1.0629578,1.2568622,1.4246497,1.4074348
MTATP6P1,1.9294381,1.5955061,1.5151494,1.5785257,1.628862,1.67102,1.6466317,1.5653813
ACAP3,1.6841596,1.7466569,1.2046295,1.330945,1.4646571,1.3058327,1.5525548,1.600584
GABRD,1.28098,1.1424576,1.4870543,1.3983032,1.678853,1.3028275,1.3619874,1.7171055
CHD5,1.6875511,1.4041917,1.3006345,1.9561447,1.5424615,1.7097111,1.531297,1.4700726
ENO1,1.7010993,1.4810253,1.501596,1.657348,1.8445733,1.4755232,1.5515451,1.1791496
CLSTN1,1.4518548,1.4064614,1.5050691,1.4188226,1.4314955,1.815632,1.3759487,1.5876051
KAZN,1.994427,1.6591437,1.7685088,1.4004568,1.4870021,1.7264297,1.6119515,1.62419
UQCRHL,1.4954948,1.5053967,1.3141004,1.43122,1.1924878,1.4543005,1.4506297,1.6090258
NBL1,1.3636366,1.3590986,1.235916,1.19535,1.6142062,1.3242749,1.5545826,1.2201308
CAMK2N1,1.5803372,1.7646997,1.834655,1.7829887,1.1994121,1.6307464,1.6779672,1.896043
PINK1,1.5132617,1.7789344,1.4443753,1.3651689,1.5951349,1.442607,1.113799,1.1799794
RAP1GAP,1.3172747,1.2372384,1.3698488,1.5924371,1.7702663,1.8427079,1.7523623,1.2800137
RSRP1,1.5450826,1.4315205,1.7358273,1.5135499,1.5909177,1.2178521,1.2604903,1.7060394
STMN1,1.4983021,1.9486506,1.6434203,1.669893,2.3947024,1.5806589,2.614221,1.7416334
ATPIF1,1.654578,1.9265174,1.5406221,1.2416593,1.4805077,1.2749097,2.0391216,1.1766757
SDC3,1.0517777,1.3261074,1.7049142,1.3583863,1.4483767,1.4757259,1.4577631,1.100694
BAI2,1.4746863,1.9918596,1.8437624,1.5511944,1.446817,1.5709401,1.2384075,1.2028211
HPCA,1.4922997,1.9225638,1.94114,1.6410772,1.5321748,1.5042472,1.2099324,1.6275489
CSMD2,1.7201942,1.2381448,1.3276527,1.5228312,1.5677178,1.420789,1.5450009,1.4515147
NCDN,1.5327109,1.8431166,1.460044,1.5047377,1.865868,1.4132731,1.6290724,1.2740908
NDUFS5,1.5953419,1.6446211,1.7435639,1.6293758,1.3066474,1.3694243,1.5448178,1.7892966
HIVEP3,1.2797263,1.5427287,1.7588756,1.38452,1.3615394,1.6074606,1.386896,1.4613037
ATP6V0B,1.5436916,1.5779042,1.3225684,1.725959,1.1120313,1.726829,1.5546608,1.5329826
B4GALT2,1.4143685,1.0011479,1.6959516,1.3887097,1.2933763,1.5886447,1.3266647,1.855822
UQCRH,1.4090255,2.043724,1.5319204,1.5587653,1.6270114,1.151171,1.8698994,1.4024479
AGBL4,1.6602098,1.887712,1.7502193,1.940514,2.0640512,2.0505853,1.5468252,1.9441404
ELAVL4,1.2317048,1.4089938,1.4570234,1.3935498,1.9302408,1.7809858,1.6532437,1.3350228
RNF11,1.3847381,1.628826,1.4233999,1.521656,1.6261247,1.6006504,1.393234,1.3249805
SSBP3,1.53202,1.9395243,1.4624879,1.4642117,1.5685565,1.2182765,1.2976028,1.85234
DHCR24,1.8552161,1.5092987,1.1212947,1.4723647,1.4243158,1.1893686,1.4798931,1.4238305
DAB1,1.6352608,1.5807209,1.7199574,1.6216443,2.1034093,1.8349997,1.9797009,1.608931
INADL,1.5423576,1.7036662,1.7004488,1.4526278,1.4504693,1.4955163,1.2199067,1.3978783
DNAJC6,1.0937815,1.5165404,1.6470575,1.3167647,1.6319386,1.7204566,1.517587,1.5853472
PDE4B,1.5613791,1.8357706,2.0357027,1.6665094,1.6582735,1.8361324,1.369298,1.3091886
LRRC7,1.6689036,1.5048641,1.6827352,1.9366133,1.5520166,2.6050901,1.2499563,2.1669593
NEGR1,1.5538517,1.8194026,1.6323185,1.6875826,1.7366686,2.0654519,1.5045067,1.6221715
SLC44A5,1.5096526,1.5888047,1.8833166,1.6086043,1.6904023,1.6155326,1.3081257,1.4985409
PRKACB,1.5731931,1.68341,1.3047917,1.6653187,1.305368,2.016136,1.6935961,1.6502875
COL24A1,1.415678,1.5230373,1.5067258,1.3894609,1.7484403,1.4838865,1.3303967,1.6299547
LMO4,1.6037067,1.5256326,1.8937863,1.6746517,1.5632019,1.7447834,1.5325553,1.2795162
KIAA1107,1.4055187,2.0083525,1.8480581,1.7258824,1.1747221,1.6441823,1.3471476,2.0992079
MIR137HG,1.4045312,1.8415612,1.4705644,1.9312867,1.5246389,2.2151246,1.7246599,2.154792
LPPR4,1.6375386,1.8708509,1.7548492,1.1958224,1.2143523,1.5691445,2.282765,1.6259527
OLFM3,1.8564305,1.7804463,1.5242232,1.8524014,1.164393,1.635259,1.9943476,1.7055874
RNPC3,1.6785779,1.7224766,1.8625156,1.3569783,1.4548604,1.8703628,1.489117,1.8006883
NTNG1,1.5145167,1.7785472,1.4468461,1.4110239,1.8300219,1.6619923,1.3261404,1.4678876
RP11-270C12.3,1.5554347,1.3928609,1.4950145,1.3435273,1.3818057,1.6643353,1.5361443,1.7894795
SLC6A17,1.5791199,1.0702394,1.5629921,1.4284706,1.061043,1.518882,1.3087791,1.4209794
BCAS2,1.4933394,1.3078024,1.5717762,1.3629504,1.6140983,1.5303833,1.5040727,1.2717242
ATP1A1,2.0018396,1.5556539,1.4403112,1.3801813,1.4865311,1.9014589,1.3118569,1.8608463
CH17-472G23.1,1.5203367,1.4479257,1.8294431,1.5517108,1.4649107,1.6451244,1.4591775,1.5752503
CH17-472G23.2,1.7608594,1.7212453,2.0499876,1.22484,1.5508548,1.8022746,1.4951388,1.5582759
RP11-289H16.1,1.5476428,1.7075154,1.6210562,1.7105947,1.7518649,1.5946018,1.6993272,1.7264374
HYDIN2,1.4487381,1.1614882,1.7544994,1.6839706,1.4760003,1.5556339,1.4938102,1.3197885
SV2A,1.4798762,1.3820573,1.2053792,1.681628,1.4252334,1.4882237,2.1040835,1.3033057
MLLT11,1.6413535,1.7656314,1.4319386,1.6924798,1.4504328,1.61629,1.7226135,1.699108
CELF3,1.2155604,1.015901,1.4898525,1.3528388,1.5772029,1.4224945,1.5204117,1.4564319
SYT11,1.7664647,1.8046,1.6150669,1.517496,1.2924064,1.8518417,1.2075037,1.5449998
CADM3,1.6189733,1.602431,1.6899793,1.3790281,1.7471839,1.7031584,1.4637038,1.5510561
PEA15,2.1360278,1.7792726,1.6175681,1.164844,1.7040797,1.5294514,1.0745416,1.5065647
PFDN2,1.6834352,1.570474,1.2762443,1.5095495,1.5712742,1.8069485,1.737081,1.3947039
RGS4,1.6456448,1.4612161,1.4438813,1.2029376,1.7788173,1.8132503,1.7227714,1.3407334
PBX1,1.6001319,1.7000103,1.9297723,1.6736838,1.8161126,1.5254191,1.9180547,1.4435769
ILDR2,1.412433,1.686725,1.9071283,1.3412477,1.4755783,1.6470199,1.7513342,1.4723322
ATP1B1,1.9194225,1.478754,2.2698963,1.4220859,1.4609314,1.7223513,1.8575108,1.7949251
BRINP3,1.3323305,2.2160203,1.8268603,1.5918114,2.0497034,2.104163,1.8319666,1.6289718
RP11-92K2.2,1.524932,1.6218396,1.5277487,1.6135112,1.5248804,1.1864396,1.639707,1.4725819
MIR181A1HG,1.929611,1.4175096,1.0555645,1.5535603,1.344829,1.5372409,1.5913255,1.8535944
IPO9-AS1,1.359067,1.6432152,1.4330299,1.4752182,1.4377158,1.6406991,1.593691,1.5763503
ARL8A,1.6138197,1.3295178,1.6773175,1.3284101,1.3554999,1.4033816,1.5285238,1.6672279
NUCKS1,2.0497894,1.8813672,1.609062,1.73986,1.3755376,1.6094364,1.5434389,2.076075
C1orf115,1.4326769,1.3034568,1.5810568,1.4593827,1.6922661,1.326388,1.9622749,1.2495502
ARF1,1.7323018,1.1958216,1.7818537,1.3305833,1.6170123,1.5152932,1.4920349,1.361143
GUK1,1.4973016,1.1581846,1.5706257,1.341825,1.4349277,1.8115984,0.97700876,1.6311182
RNF187,1.4903247,1.2689502,1.5541995,1.1239572,1.1409914,1.3765867,1.6261756,1.4006238
SLC35F3,1.5150995,1.3306712,1.2130513,1.486235,1.3554131,2.0183234,1.471233,1.4878957
TOMM20,1.7855568,1.5901884,1.5571215,1.37467,1.359588,1.8671514,1.3242345,1.5019788
CHRM3-AS2,1.333544,1.2696916,1.2462732,1.614746,1.5293417,1.046034,1.3266416,1.1864471
ZBTB18,1.4549224,1.4996932,1.413806,1.5239917,1.4363606,1.3003205,1.3008859,1.778865
KIF26B,1.5853235,1.8436545,1.5409031,1.9976852,1.3671583,1.4196507,2.4118257,1.4198307
OR2L13,1.6397855,1.5669565,1.2984911,1.8519766,1.4119004,1.6318185,1.4964603,1.7575341
HPCAL1,1.4263923,1.2120633,1.5303178,1.1738894,1.5477729,1.6995089,1.6586713,0.98973405
KCNF1,1.6809045,1.3728803,1.161253,1.2774098,1.3106896,1.0838963,1.030923,1.3627013
FAM49A,1.6369474,1.8744948,1.6387335,1.4248376,1.1361693,1.6126457,1.5404295,1.6315612
VSNL1,1.9540981,1.5317632,1.6546309,1.32839,1.7920916,1.2670599,1.7342812,1.4763285
