NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CALM1	19	0.5065686106681824	0.20211351	Yes	
row_1	CLU	58	0.34543120861053467	0.3144845	Yes	
row_2	CALM3	64	0.3362829387187958	0.45639336	Yes	
row_3	CDH13	139	0.21700318157672882	0.47604275	Yes	
row_4	ZFPM2	196	0.17585207521915436	0.49599758	Yes	
row_5	MT3	292	0.13343368470668793	0.45777708	No	
row_6	PCLO	340	0.1184253990650177	0.4617769	No	
row_7	CTSB	488	0.0869428738951683	0.35038963	No	
row_8	DGKG	568	0.07586181163787842	0.30326447	No	
row_9	DUSP6	570	0.07563374191522598	0.33530793	No	
row_10	PDP1	651	0.0632595419883728	0.28165802	No	
row_11	CDK5R1	783	0.0408499576151371	0.16638356	No	
row_12	PPP2CB	810	0.03767858445644379	0.1564302	No	
row_13	ZEB1	852	0.030132204294204712	0.1279344	No	
row_14	HSPA1A	858	0.028392821550369263	0.13526368	No	
row_15	GNB2	907	0.016043903306126595	0.093496025	No	
