NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BASP1	68	0.32813820242881775	0.04729738	Yes	
row_1	THY1	78	0.29247426986694336	0.14217064	Yes	
row_2	APLP1	84	0.2784879207611084	0.23615316	Yes	
row_3	NTM	96	0.25715434551239014	0.3164162	Yes	
row_4	RGS4	104	0.24590909481048584	0.39676383	Yes	
row_5	ENO2	140	0.21564531326293945	0.4377426	Yes	
row_6	SERPINE2	213	0.16699960827827454	0.42361885	Yes	
row_7	SLIT2	230	0.15757445991039276	0.4633428	Yes	
row_8	CADM1	233	0.15600578486919403	0.51680887	Yes	
row_9	CDH2	306	0.1301986575126648	0.48959085	No	
row_10	SLIT3	379	0.10845570266246796	0.45463642	No	
row_11	CAP2	520	0.08278197050094604	0.3410883	No	
row_12	BDNF	567	0.07607126235961914	0.32116878	No	
row_13	COL5A2	574	0.07509061694145203	0.3417583	No	
row_14	CDH11	727	0.050417907536029816	0.20443723	No	
row_15	GPC1	781	0.04107819125056267	0.16491653	No	
row_16	SCG2	796	0.03937321901321411	0.16462573	No	
row_17	SPOCK1	823	0.035709183663129807	0.15077384	No	
row_18	TIMP3	838	0.032660774886608124	0.14809468	No	
row_19	LGALS1	866	0.02593124285340309	0.1297422	No	
row_20	LAMA2	976	-0.014303169213235378	0.023493357	No	
