NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARPP19	46	0.38547253608703613	0.10596151	Yes	
row_1	ALDOA	62	0.34113943576812744	0.22589059	Yes	
row_2	STMN1	100	0.2505163550376892	0.2875266	Yes	
row_3	PKM	121	0.22955167293548584	0.35814866	Yes	
row_4	ENO2	140	0.21564531326293945	0.4252944	Yes	
row_5	HOMER1	148	0.2100878804922104	0.50142807	Yes	
row_6	PPIA	226	0.16010749340057373	0.48654464	Yes	
row_7	TPI1	286	0.13638022541999817	0.48056972	Yes	
row_8	PAM	318	0.12482596188783646	0.4985003	Yes	
row_9	MDH1	351	0.11368682980537415	0.51099926	Yes	
row_10	PGAM1	394	0.10581843554973602	0.51020724	No	
row_11	ENO1	542	0.0787251815199852	0.3918626	No	
row_12	SOD1	634	0.06635165959596634	0.32558304	No	
row_13	GPC1	781	0.04107819125056267	0.19333678	No	
row_14	PPP2CB	810	0.03767858445644379	0.17978401	No	
row_15	SDC3	876	0.02360454574227333	0.12301403	No	
row_16	B4GALT2	951	0.0027652219869196415	0.048830092	No	
