NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CKB	29	0.45999717712402344	0.12976219	Yes	
row_1	MEF2C	30	0.45782041549682617	0.28821263	Yes	
row_2	CLU	58	0.34543120861053467	0.3803543	Yes	
row_3	APP	63	0.3406749963760376	0.49420008	Yes	
row_4	EIF4A2	137	0.21787549555301666	0.49549454	Yes	
row_5	CDH13	139	0.21700318157672882	0.56958354	Yes	
row_6	SORBS1	174	0.1884598433971405	0.60029125	Yes	
row_7	PRNP	191	0.1779055893421173	0.6456202	Yes	
row_8	MEF2A	215	0.16585741937160492	0.6796728	Yes	
row_9	ATP6AP1	576	0.07505138963460922	0.34016564	No	
row_10	CAMK2B	591	0.0731448382139206	0.35126767	No	
row_11	BIN1	633	0.06654974073171616	0.332676	No	
row_12	GABARAPL2	760	0.04545636475086212	0.22048953	No	
row_13	MAPRE3	772	0.04382937029004097	0.22449125	No	
row_14	LAMA2	976	-0.014303169213235378	0.023350162	No	
