NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP1B1	55	0.3502264618873596	0.07078345	Yes	
row_1	UQCRB	95	0.2575662434101105	0.12432676	Yes	
row_2	COX7C	152	0.2075476050376892	0.14224243	Yes	
row_3	COX4I1	163	0.19736000895500183	0.20368448	Yes	
row_4	NDUFA3	297	0.1323912888765335	0.11523734	Yes	
row_5	MDH1	351	0.11368682980537415	0.10212964	Yes	
row_6	COX6C	354	0.11339263617992401	0.14127645	Yes	
row_7	UQCRQ	367	0.11090197414159775	0.16925135	Yes	
row_8	COX5B	393	0.1058618500828743	0.18204795	Yes	
row_9	COX6B1	400	0.10469599068164825	0.21392812	Yes	
row_10	UQCRH	404	0.1028694212436676	0.24822472	Yes	
row_11	LDHB	427	0.09787777811288834	0.26120046	Yes	
row_12	NDUFA4	430	0.09756901860237122	0.2945979	Yes	
row_13	ATP6V0B	433	0.09666735678911209	0.3276677	Yes	
row_14	VDAC1	494	0.08644676953554153	0.29747573	No	
row_15	NDUFB2	519	0.08282273262739182	0.30292797	No	
row_16	ACADVL	551	0.07814370095729828	0.29949325	No	
row_17	ATP6AP1	576	0.07505138963460922	0.30212185	No	
row_18	NDUFB7	642	0.06464636325836182	0.2588754	No	
row_19	PDP1	651	0.0632595419883728	0.27364662	No	
row_20	UQCR10	696	0.055211108177900314	0.24853255	No	
row_21	COX7A2	721	0.051217708736658096	0.24250138	No	
row_22	ATP6V1F	818	0.036704275757074356	0.15727492	No	
row_23	CYCS	820	0.03631718084216118	0.16944374	No	
row_24	VDAC3	897	0.018275437876582146	0.098055206	No	
row_25	GPX4	912	0.0155250895768404	0.08932239	No	
