NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPRD	5	0.7924020290374756	0.23855738	Yes	
row_1	CCK	41	0.42620086669921875	0.33383018	Yes	
row_2	ALDOA	62	0.34113943576812744	0.41828334	Yes	
row_3	OLFM1	115	0.23371590673923492	0.43698308	Yes	
row_4	ENO2	140	0.21564531326293945	0.47875583	Yes	
row_5	GLS	223	0.16073618829250336	0.44433892	No	
row_6	NPTXR	272	0.14030684530735016	0.43840462	No	
row_7	PLCL1	376	0.10903548449277878	0.3666169	No	
row_8	FOS	428	0.09782031178474426	0.3445502	No	
row_9	TUBA4A	431	0.09746406227350235	0.37247616	No	
row_10	BSG	479	0.08882750570774078	0.35173407	No	
row_11	GRINA	501	0.08575229346752167	0.3566312	No	
row_12	NPTX2	571	0.07558248192071915	0.30932122	No	
row_13	NR4A1	578	0.0749342069029808	0.32622913	No	
row_14	JUNB	586	0.073849156498909	0.34178087	No	
row_15	CLTB	640	0.06510517001152039	0.307609	No	
row_16	DNAJA1	659	0.06180611252784729	0.30820996	No	
row_17	MAPK8IP2	754	0.046291086822748184	0.2263303	No	
row_18	ATP6V1F	818	0.036704275757074356	0.17319998	No	
row_19	AP2S1	864	0.027309736236929893	0.13558567	No	
row_20	DLG4	955	9.100053575821221E-4	0.043840963	No	
row_21	ABCB1	956	4.1067926213145256E-4	0.04396725	No	
