"Dim2","gene","rank"
1.58084678649902,"MALAT1",1
1.0077930688858,"RASGEF1B",2
0.927018523216248,"LINC00486",3
0.819619119167328,"CADM2",4
0.815198838710785,"PCDH9",5
0.792402029037476,"PTPRD",6
0.766826808452606,"MEG3",7
0.729957580566406,"SYT1",8
0.657868206501007,"NRXN3",9
0.635046303272247,"RALYL",10
0.633974134922028,"SNAP25",11
0.618900954723358,"LINGO1",12
0.59415078163147,"ROBO2",13
0.550078749656677,"HS6ST3",14
0.53993433713913,"CNTNAP2",15
0.529365301132202,"ACTB",16
0.525312304496765,"LPHN3",17
0.51093852519989,"NEGR1",18
0.506757736206055,"OPCML",19
0.506568610668182,"CALM1",20
0.502156853675842,"CELF2",21
0.49660450220108,"AC011288.2",22
0.491990327835083,"NKAIN2",23
0.489253968000412,"TMSB10",24
0.488914579153061,"BCYRN1",25
0.485396236181259,"PPFIA2",26
0.477043002843857,"GPM6A",27
0.469418734312057,"CHN1",28
0.461156219244003,"KHDRBS2",29
0.459997177124023,"CKB",30
0.457820415496826,"MEF2C",31
0.455605357885361,"DAB1",32
0.449489563703537,"PHACTR1",33
0.44469752907753,"LRP1B",34
0.443511068820953,"LSAMP",35
0.44003227353096,"CDH9",36
0.4375901222229,"CDH18",37
0.434783399105072,"ENC1",38
0.431918799877167,"PPP3CA",39
0.430555254220963,"ATP2B1",40
0.428729772567749,"EPHA6",41
0.426200866699219,"CCK",42
0.424405306577682,"GALNTL6",43
0.416491836309433,"NLGN1",44
0.407745122909546,"VSNL1",45
0.402094155550003,"PCDH7",46
0.385472536087036,"ARPP19",47
0.381098747253418,"INO80D",48
0.379334300756454,"TMSB4X",49
0.377545207738876,"SLC26A3",50
0.372402846813202,"CBLN2",51
0.370737761259079,"CSMD3",52
0.361373513936996,"LINGO2",53
0.351774513721466,"RFX3",54
0.351195126771927,"KCND2",55
0.35022646188736,"ATP1B1",56
0.346644014120102,"ARL17B",57
0.346332609653473,"RTN4",58
0.345431208610535,"CLU",59
0.342230051755905,"LRRC7",60
0.342091053724289,"YWHAH",61
0.34142792224884,"CAMK2N1",62
0.341139435768127,"ALDOA",63
0.340674996376038,"APP",64
0.336282938718796,"CALM3",65
0.334327638149261,"GRID2",66
0.332507014274597,"PEX5L",67
