variable,value,log_value,log_variable
20,1.674865246,0.223979871,1.301029996
20,1.059046268,0.024914934,1.301029996
20,0.708291054,-0.149788244,1.301029996
20,0.908677816,-0.041590074,1.301029996
20,0.898653269,-0.046407842,1.301029996
20,0.80939889,-0.091837396,1.301029996
20,0.763247252,-0.117334751,1.301029996
20,0.73099637,-0.136084779,1.301029996
20,0.693420887,-0.159003081,1.301029996
20,0.741729021,-0.129754728,1.301029996
20,0.998492718,-0.000655098,1.301029996
20,0.963836908,-0.015996447,1.301029996
20,0.789142847,-0.102844376,1.301029996
20,0.643465996,-0.191474399,1.301029996
20,1.169102192,0.067852475,1.301029996
20,0.829122066,-0.081381526,1.301029996
20,1.055096865,0.023292332,1.301029996
20,1.495666742,0.174834837,1.301029996
20,1.07902813,0.033032767,1.301029996
20,0.681451797,-0.166564859,1.301029996
20,0.939826012,-0.026952539,1.301029996
20,0.735438108,-0.13345387,1.301029996
20,0.646482944,-0.189442928,1.301029996
20,1.042005062,0.017869829,1.301029996
20,1.060978889,0.025706743,1.301029996
20,1.03328681,0.014220886,1.301029996
20,0.670917988,-0.173330564,1.301029996
20,1.758117914,0.245047999,1.301029996
20,0.996446133,-0.001546174,1.301029996
20,0.997668743,-0.001013634,1.301029996
20,0.862751007,-0.064114525,1.301029996
20,0.617883921,-0.209093106,1.301029996
20,1.345077991,0.128747467,1.301029996
20,0.715427876,-0.145434142,1.301029996
20,0.971782923,-0.012430737,1.301029996
20,1.749949932,0.243025623,1.301029996
20,0.791775942,-0.101397698,1.301029996
20,1.464590073,0.165716086,1.301029996
20,0.85178113,-0.069671985,1.301029996
20,0.802858114,-0.095361199,1.301029996
20,0.659213066,-0.180974193,1.301029996
20,0.64693284,-0.189140802,1.301029996
20,0.705338001,-0.151602717,1.301029996
20,0.688537836,-0.16207219,1.301029996
20,0.71481514,-0.145806258,1.301029996
20,0.709616899,-0.14897605,1.301029996
20,0.638967037,-0.194521545,1.301029996
20,0.8955791,-0.04789605,1.301029996
20,0.757504225,-0.120614941,1.301029996
20,0.824570894,-0.083771999,1.301029996
50,1.093002081,0.038620989,1.698970004
50,0.831146002,-0.08032268,1.698970004
50,1.12736702,0.052065326,1.698970004
50,3.06739378,0.486769533,1.698970004
50,3.837517023,0.584050315,1.698970004
50,1.258608103,0.099890523,1.698970004
